                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0875,                 5.0519,                 1.1047,                      0,                      0,                      0,                      0,                0.97412,                 5.0281,                0.93523,               5.25e-05,               5.25e-05,               5.25e-05
                      2,                 1.0437,                 4.1528,                   1.04,                0.04126,                0.13308,                0.05236,                0.04039,                 1.0034,                 4.4774,                0.94463,             0.00010644,             0.00010644,             0.00010644
                      3,                 1.0524,                 3.2345,                 1.0476,                0.03611,                0.29042,                0.08995,                0.06942,                0.98237,                 4.0137,                 0.9708,             0.00015928,             0.00015928,             0.00015928
                      4,                 1.0694,                 2.8542,                 1.0471,                0.21015,                0.32049,                0.11733,                0.09013,                0.98261,                 3.5257,                0.99549,             0.00021104,             0.00021104,             0.00021104
                      5,                 1.0426,                 2.6112,                 1.0527,                0.76051,                0.11616,                0.15568,                0.11986,                0.97188,                 3.2948,                0.97559,              0.0002401,              0.0002401,              0.0002401
                      6,                 1.0032,                 2.4045,                 1.0309,                 0.6964,                0.12995,                0.18578,                0.13604,                0.99006,                 2.9887,                 1.0119,              0.0002401,              0.0002401,              0.0002401
                      7,                0.98151,                 2.2505,                 1.0151,                0.55758,                0.24981,                0.25426,                0.17688,                 1.0169,                  2.622,                 1.0461,             0.00023763,             0.00023763,             0.00023763
                      8,                0.99462,                 2.1016,                 1.0175,                0.55234,                0.25696,                0.26279,                0.19564,                0.93085,                 2.4819,                  0.977,             0.00023515,             0.00023515,             0.00023515
                      9,                0.98445,                 2.0752,                 1.0268,                0.54134,                0.25041,                 0.2755,                0.19985,                0.99033,                 2.1912,                 1.0121,             0.00023268,             0.00023268,             0.00023268
                     10,                 1.0056,                 1.9329,                 1.0275,                0.66668,                0.23196,                0.32764,                0.22982,                0.98299,                 2.1103,                 1.0088,              0.0002302,              0.0002302,              0.0002302
                     11,                0.97538,                  1.878,                 1.0019,                0.53923,                0.29376,                 0.3295,                0.23914,                0.94691,                  1.946,                0.99427,             0.00022773,             0.00022773,             0.00022773
                     12,                0.93683,                 1.7478,                0.99463,                0.54499,                0.30488,                0.32607,                0.23814,                0.91292,                 1.8801,                 0.9716,             0.00022525,             0.00022525,             0.00022525
                     13,                0.93566,                 1.7276,                0.99804,                0.59877,                 0.4125,                0.38775,                0.28291,                0.91479,                 1.6801,                0.97471,             0.00022278,             0.00022278,             0.00022278
                     14,                0.94591,                 1.6704,                 1.0081,                0.47615,                0.40706,                0.37709,                0.26953,                0.92315,                 1.7558,                 1.0062,              0.0002203,              0.0002203,              0.0002203
                     15,                 0.9541,                 1.6042,                 1.0034,                0.60618,                 0.3377,                0.37041,                0.27125,                0.91858,                 1.6766,                0.99481,             0.00021782,             0.00021782,             0.00021782
                     16,                0.92123,                 1.5937,                 0.9932,                0.63753,                0.37084,                 0.4307,                0.32346,                0.94347,                 1.6075,                 1.0052,             0.00021535,             0.00021535,             0.00021535
                     17,                0.91015,                 1.5183,                0.98487,                 0.7059,                0.34167,                0.41964,                0.30054,                 1.0572,                 1.6753,                 1.0275,             0.00021288,             0.00021288,             0.00021288
                     18,                0.91879,                 1.5045,                0.99819,                0.61788,                0.37416,                0.40729,                 0.2908,                0.90564,                 1.6196,                0.97312,              0.0002104,              0.0002104,              0.0002104
                     19,                0.89783,                 1.4598,                0.97888,                0.71869,                0.43457,                0.45063,                0.33508,                0.89716,                 1.3696,                0.97592,             0.00020792,             0.00020792,             0.00020792
                     20,                0.89303,                 1.4183,                0.98996,                0.70496,                0.40657,                0.42677,                0.31775,                0.88984,                 1.4073,                0.98012,             0.00020545,             0.00020545,             0.00020545
                     21,                0.90896,                 1.3978,                0.98312,                0.72394,                0.42422,                0.43791,                0.31864,                0.88025,                 1.3426,                0.96774,             0.00020298,             0.00020298,             0.00020298
                     22,                0.90131,                 1.3934,                0.98995,                0.63391,                0.36007,                0.40468,                0.29914,                 0.9419,                 1.4134,                0.99019,              0.0002005,              0.0002005,              0.0002005
                     23,                0.89193,                 1.3905,                 0.9891,                0.74643,                0.41299,                 0.4799,                0.36063,                0.91224,                 1.2915,                 1.0076,             0.00019803,             0.00019803,             0.00019803
                     24,                0.86588,                 1.2924,                0.97606,                0.66902,                0.44569,                0.51782,                0.38646,                 0.9232,                 1.2572,                 1.0088,             0.00019555,             0.00019555,             0.00019555
                     25,                0.90113,                 1.3444,                0.98763,                0.68897,                0.43248,                 0.4858,                0.36195,                0.90482,                 1.2751,                0.98073,             0.00019307,             0.00019307,             0.00019307
                     26,                0.86562,                 1.2991,                0.98698,                 0.7516,                0.43239,                0.46984,                0.35508,                0.89253,                 1.2846,                0.97141,              0.0001906,              0.0001906,              0.0001906
                     27,                0.88494,                 1.2765,                0.97206,                0.74647,                 0.4023,                0.46445,                0.35728,                0.91733,                 1.3023,                0.98018,             0.00018812,             0.00018812,             0.00018812
                     28,                0.86344,                   1.23,                0.97561,                0.66876,                0.43895,                0.48089,                0.36889,                0.87817,                 1.2392,                0.97196,             0.00018565,             0.00018565,             0.00018565
                     29,                 0.8476,                 1.2302,                0.96753,                0.72283,                0.39303,                0.46476,                0.34309,                0.90299,                 1.2072,                0.97977,             0.00018318,             0.00018318,             0.00018318
                     30,                0.86878,                 1.2257,                0.97568,                0.64453,                0.44224,                0.48655,                0.36523,                0.91376,                 1.2338,                0.99877,              0.0001807,              0.0001807,              0.0001807
                     31,                0.85525,                 1.2052,                0.97332,                0.65589,                0.43542,                 0.5222,                0.39818,                0.85255,                 1.2693,                0.95206,             0.00017823,             0.00017823,             0.00017823
                     32,                0.83554,                 1.1586,                0.97267,                0.66997,                0.40499,                0.47337,                0.35596,                 0.8839,                 1.2514,                0.95227,             0.00017575,             0.00017575,             0.00017575
                     33,                0.83339,                 1.1383,                0.96326,                 0.7854,                 0.4044,                0.50096,                0.36961,                0.88954,                 1.1675,                0.97029,             0.00017327,             0.00017327,             0.00017327
                     34,                0.84158,                 1.1317,                0.97219,                0.70691,                0.41683,                0.46293,                0.34407,                 0.8887,                 1.1503,                  0.973,              0.0001708,              0.0001708,              0.0001708
                     35,                0.82198,                 1.1344,                0.95489,                0.66887,                0.44338,                0.51234,                0.39024,                0.86365,                 1.1606,                0.97801,             0.00016832,             0.00016832,             0.00016832
                     36,                0.82704,                 1.0833,                 0.9641,                0.84435,                0.39093,                0.49324,                0.35608,                0.93836,                 1.1578,                 1.0459,             0.00016585,             0.00016585,             0.00016585
                     37,                0.81657,                 1.0666,                0.95532,                0.85289,                0.36389,                0.45732,                0.33779,                0.89832,                 1.2359,                0.99863,             0.00016338,             0.00016338,             0.00016338
                     38,                0.81426,                  1.073,                0.95582,                0.78393,                 0.4085,                0.51381,                0.38939,                 0.8796,                 1.0692,                0.98845,              0.0001609,              0.0001609,              0.0001609
                     39,                0.82625,                 1.0773,                0.95596,                0.80264,                0.44264,                0.49436,                0.36542,                0.88502,                 1.1144,                0.99325,             0.00015843,             0.00015843,             0.00015843
                     40,                0.80649,                 1.0328,                0.95181,                0.83717,                0.38887,                0.51185,                 0.3834,                0.88285,                 1.0818,                 1.0007,             0.00015595,             0.00015595,             0.00015595
                     41,                0.81969,                 1.0254,                0.96026,                0.67554,                 0.4714,                0.52742,                 0.4026,                0.88759,                 1.1106,                0.97902,             0.00015348,             0.00015348,             0.00015348
                     42,                0.80584,                0.99609,                0.95536,                  0.727,                0.41075,                0.51494,                0.39307,                0.87004,                    1.1,                0.96502,               0.000151,               0.000151,               0.000151
                     43,                0.80902,                 1.0274,                0.94741,                0.87031,                0.40387,                0.51356,                0.37933,                0.88665,                 1.0562,                0.98221,             0.00014853,             0.00014853,             0.00014853
                     44,                0.79243,                 1.0114,                0.94808,                0.66518,                0.45852,                0.56154,                0.42134,                0.89136,                 1.0095,                0.98845,             0.00014605,             0.00014605,             0.00014605
                     45,                0.80494,                 1.0279,                0.95245,                0.70219,                0.39619,                0.48728,                0.36698,                0.86674,                 1.0842,                0.98352,             0.00014358,             0.00014358,             0.00014358
                     46,                 0.8005,                 0.9776,                 0.9549,                0.90272,                0.36381,                0.50692,                0.37276,                0.96373,                 1.1281,                 1.0031,              0.0001411,              0.0001411,              0.0001411
                     47,                0.78946,                0.98763,                0.94586,                0.80819,                 0.4153,                0.57235,                0.43849,                0.86378,                 1.0443,                0.96875,             0.00013862,             0.00013862,             0.00013862
                     48,                0.78903,                0.98821,                0.94929,                0.76048,                0.46056,                0.55546,                0.42225,                0.87846,                 1.0192,                0.99241,             0.00013615,             0.00013615,             0.00013615
                     49,                0.77369,                0.93981,                0.94461,                0.74951,                0.42643,                0.53565,                0.40856,                0.89662,                 1.0104,                0.98916,             0.00013368,             0.00013368,             0.00013368
                     50,                 0.7785,                0.93162,                0.94272,                0.75303,                0.37893,                0.52124,                0.39242,                0.89738,                 1.0996,                0.98296,              0.0001312,              0.0001312,              0.0001312
                     51,                0.78059,                0.92837,                0.94102,                0.56199,                 0.5298,                0.50801,                0.38622,                0.89857,                 1.0729,                0.97731,             0.00012872,             0.00012872,             0.00012872
                     52,                0.77714,                0.91709,                0.93198,                0.73468,                0.42125,                 0.5081,                0.37952,                0.89465,                 1.0265,                 0.9933,             0.00012625,             0.00012625,             0.00012625
                     53,                0.79362,                0.93057,                0.94472,                0.67588,                0.45133,                0.51758,                0.38843,                0.87204,                0.99973,                0.97381,             0.00012377,             0.00012377,             0.00012377
                     54,                0.76307,                 0.9121,                0.93863,                0.61021,                0.42444,                0.46911,                0.34924,                0.88485,                 1.0667,                0.99457,              0.0001213,              0.0001213,              0.0001213
                     55,                0.75387,                0.89684,                0.93469,                0.69435,                0.46271,                0.53884,                0.40516,                0.87561,                0.92868,                0.98452,             0.00011883,             0.00011883,             0.00011883
                     56,                 0.7428,                0.87575,                0.92408,                0.77855,                0.44654,                0.58098,                0.43958,                0.88137,                0.95962,                0.97995,             0.00011635,             0.00011635,             0.00011635
                     57,                0.74667,                 0.8867,                0.93661,                0.71739,                0.43757,                  0.525,                0.38935,                0.89364,                 1.0214,                0.98412,             0.00011387,             0.00011387,             0.00011387
                     58,                0.75765,                0.86954,                0.93943,                 0.7523,                0.40963,                0.56275,                 0.4198,                0.86513,                0.98109,                0.97162,              0.0001114,              0.0001114,              0.0001114
                     59,                0.75602,                0.88632,                0.92855,                0.63731,                0.52371,                0.57315,                0.44023,                0.84868,                 0.9854,                 0.9816,             0.00010893,             0.00010893,             0.00010893
                     60,                0.77363,                 0.8423,                0.92708,                0.75717,                0.47997,                0.56151,                 0.4288,                0.83054,                0.97905,                0.96531,             0.00010645,             0.00010645,             0.00010645
                     61,                0.74431,                0.85022,                0.92611,                0.71764,                 0.4583,                0.54324,                0.40915,                 0.8705,                0.93078,                0.97962,             0.00010398,             0.00010398,             0.00010398
                     62,                0.74971,                0.84899,                0.92998,                0.74748,                0.46756,                0.56859,                 0.4322,                0.84665,                0.89941,                0.96446,              0.0001015,              0.0001015,              0.0001015
                     63,                0.73382,                0.84973,                0.92411,                0.75383,                0.41867,                0.56268,                0.43016,                0.86873,                0.93316,                0.96901,             9.9025e-05,             9.9025e-05,             9.9025e-05
                     64,                0.74201,                0.84111,                0.93316,                0.74182,                 0.4314,                0.57592,                0.43426,                0.84704,                 0.9597,                0.96574,              9.655e-05,              9.655e-05,              9.655e-05
                     65,                 0.7384,                0.84012,                0.93172,                0.71103,                0.45315,                0.53484,                0.39703,                0.86995,                0.94115,                0.99595,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     66,                0.72831,                0.81588,                0.91558,                0.72786,                 0.4435,                0.53007,                0.40076,                 0.8647,                0.94795,                0.98187,               9.16e-05,               9.16e-05,               9.16e-05
                     67,                0.72668,                0.80766,                0.92219,                0.59731,                0.53032,                0.53077,                0.39707,                0.88443,                  1.001,                 0.9965,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     68,                0.72741,                0.78828,                0.91865,                0.70322,                0.48726,                0.57209,                0.43191,                0.89426,                0.98751,                 0.9845,              8.665e-05,              8.665e-05,              8.665e-05
                     69,                0.74696,                0.83647,                0.92695,                0.71627,                  0.413,                0.53633,                0.40695,                0.88594,                0.96481,                0.97959,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     70,                0.71599,                 0.7973,                0.91908,                 0.5358,                0.59218,                0.58761,                0.45011,                0.84305,                0.95607,                0.95965,               8.17e-05,               8.17e-05,               8.17e-05
                     71,                0.71747,                0.79581,                0.91598,                0.71544,                0.45107,                0.55911,                0.42455,                0.84756,                0.95619,                 0.9774,             7.9225e-05,             7.9225e-05,             7.9225e-05
                     72,                0.70847,                0.79582,                0.90788,                0.75208,                0.43363,                0.54248,                0.41177,                0.86589,                0.94226,                0.99095,              7.675e-05,              7.675e-05,              7.675e-05
                     73,                0.73359,                0.81835,                0.91619,                0.84692,                0.40666,                0.53846,                0.41255,                0.85937,                0.96696,                 1.0041,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     74,                0.71589,                0.75783,                0.92076,                0.78612,                0.46872,                0.56906,                0.42644,                0.87189,                0.95164,                 0.9983,               7.18e-05,               7.18e-05,               7.18e-05
                     75,                0.69981,                0.76578,                0.91322,                0.79535,                0.44101,                0.56437,                0.43022,                0.85502,                0.91193,                0.98464,             6.9325e-05,             6.9325e-05,             6.9325e-05
                     76,                0.70475,                0.76701,                0.90976,                0.75804,                0.45199,                 0.5556,                0.42053,                0.85712,                0.92703,                0.99816,              6.685e-05,              6.685e-05,              6.685e-05
                     77,                0.69689,                0.73931,                0.91507,                0.75982,                0.44072,                0.56027,                0.42774,                  0.851,                0.92602,                0.96977,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     78,                0.71129,                0.76887,                0.91165,                0.73181,                0.45172,                0.57568,                0.43312,                0.87576,                0.95329,                0.98484,               6.19e-05,               6.19e-05,               6.19e-05
                     79,                0.69953,                0.74499,                0.91504,                0.79953,                0.45442,                0.59392,                0.45337,                0.86595,                0.93766,                0.97732,             5.9425e-05,             5.9425e-05,             5.9425e-05
                     80,                0.69205,                0.74325,                0.91502,                0.60096,                0.50365,                0.57335,                0.44237,                0.86918,                0.95861,                0.98419,              5.695e-05,              5.695e-05,              5.695e-05
                     81,                0.69219,                0.75082,                0.91402,                0.73142,                0.47263,                0.57245,                0.44281,                0.85849,                0.90068,                0.98902,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     82,                  0.699,                0.74003,                 0.9086,                0.78275,                0.45624,                0.56053,                 0.4336,                0.85403,                0.92225,                0.97135,                5.2e-05,                5.2e-05,                5.2e-05
                     83,                0.69979,                0.75173,                0.90952,                0.52913,                0.55944,                 0.5714,                0.44079,                0.84994,                0.93092,                0.97759,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     84,                0.68433,                0.70449,                0.91014,                0.73078,                0.45781,                0.56365,                0.42064,                0.86781,                0.91457,                0.99926,              4.705e-05,              4.705e-05,              4.705e-05
                     85,                0.68104,                0.72639,                0.90578,                0.69253,                0.48876,                0.56817,                0.42559,                0.86708,                 0.9102,                0.98894,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     86,                0.68963,                0.73301,                0.90902,                 0.7098,                0.53382,                0.58485,                0.44432,                0.84415,                0.90816,                 0.9726,               4.21e-05,               4.21e-05,               4.21e-05
                     87,                 0.6861,                 0.7154,                0.90801,                0.77934,                0.45514,                0.57657,                0.43974,                0.84915,                0.92648,                0.98339,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     88,                0.68435,                0.71228,                 0.9092,                0.73602,                0.46699,                0.58644,                0.44387,                0.85072,                0.91847,                0.97406,              3.715e-05,              3.715e-05,              3.715e-05
                     89,                0.67793,                0.70399,                0.90634,                0.77173,                0.45609,                0.56916,                0.43425,                0.85698,                0.93358,                0.97179,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     90,                0.66174,                0.70317,                0.90438,                0.72821,                0.46454,                 0.5588,                0.42175,                0.86856,                0.92767,                0.98884,               3.22e-05,               3.22e-05,               3.22e-05
                     91,                 0.6505,                0.64107,                0.88564,                0.77299,                0.44748,                0.56879,                0.42735,                0.85476,                0.95423,                0.97376,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     92,                0.64602,                0.61978,                0.88157,                0.69267,                0.53368,                 0.5919,                0.45538,                0.86374,                0.92137,                0.97888,              2.725e-05,              2.725e-05,              2.725e-05
                     93,                0.64121,                0.60852,                0.87747,                0.65741,                 0.5367,                0.58859,                0.44946,                0.86259,                0.91334,                0.98926,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     94,                0.63901,                0.59825,                0.87286,                0.62938,                0.53369,                0.58771,                0.44284,                0.86023,                0.91378,                0.99154,               2.23e-05,               2.23e-05,               2.23e-05
                     95,                0.62521,                0.59494,                0.86972,                0.61776,                0.54046,                0.56443,                  0.432,                0.86287,                 0.9113,                0.99211,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     96,                0.62357,                0.58925,                0.86194,                0.63494,                0.53756,                0.57144,                0.43569,                0.85814,                0.91229,                      1,              1.735e-05,              1.735e-05,              1.735e-05
                     97,                0.61674,                0.58653,                0.87422,                0.57949,                0.55325,                0.57885,                0.44366,                0.86414,                0.91529,                 1.0025,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     98,                0.62402,                0.58033,                0.86509,                0.62471,                0.54326,                0.57895,                0.44131,                0.86307,                0.91403,                 1.0049,               1.24e-05,               1.24e-05,               1.24e-05
                     99,                0.61796,                0.58145,                0.87808,                0.62125,                0.54101,                0.57784,                0.43843,                0.86323,                0.92143,                 0.9963,              9.925e-06,              9.925e-06,              9.925e-06
                    100,                0.62005,                0.57089,                0.86852,                0.62753,                0.52926,                0.57767,                0.44021,                 0.8591,                0.91981,                0.99126,               7.45e-06,               7.45e-06,               7.45e-06
